id, longitude, latitude
1,116.014,-32.1557
2,151.662,-30.5125
3,144.883,-37.8414
4,146.764,-19.2971
5,117.885,-35.0259
6,145.479,-17.2632
7,133.88,-23.6959
8,147.407,-19.5768
9,142.937,-37.2833
10,144.887,-37.7139
11,146.924,-36.0773
12,153.557,-28.8671
13,145.094,-37.8996
14,145.907,-41.0544
15,150.419,-34.4786
16,151.696,-32.9608
17,122.24,-17.9546
18,149.842,-36.6737
19,150.179,-35.7098
20,151.101,-33.8711
21,147.634,-37.8267
22,152.354,-24.8661
23,153.207,-27.7196
24,140.602,-34.2879
25,151.251,-33.8937
26,141.462,-31.9578
27,150.911,-33.7684
28,144.916,-37.682
29,149.069,-35.2378
30,144.283,-36.7595
31,148.247,-20.015
32,143.858,-37.5633
33,149.577,-33.4167
34,115.635,-33.3239
35,152.977,-27.4122
36,151.031,-33.9172
37,145.124,-37.8212
38,153.119,-30.2967
39,153.051,-28.8634
40,144.356,-38.0753
41,148.691,-33.8358
42,138.565,-34.924
43,150.694,-34.0562
44,150.817,-34.0652
45,149.132,-35.2741
46,153.136,-26.8041
47,145.285,-38.1125
48,144.963,-37.7557
49,145.355,-37.756
50,151.356,-32.8387
51,138.499,-35.1385
52,149.125,-36.2337
53,115.929,-32.0152
54,143.589,-38.3411
55,153.193,-27.5238
56,153.031,-27.3818
57,145.774,-16.9223
58,130.881,-12.3719
59,153.267,-27.5292
60,151.186,-33.797
61,153.03,-27.1927
62,145.07,-37.7589
63,145.211,-37.9877
64,130.843,-12.4615
65,148.605,-32.249
66,146.351,-41.1748
67,151.265,-27.1803
68,138.664,-34.7205
69,151.103,-33.8146
70,153.385,-28.0775
71,148.159,-23.5242
72,144.746,-36.125
73,150.953,-33.8728
74,145.306,-38.0225
75,145.123,-38.1465
76,144.903,-37.7997
77,145.107,-37.7049
78,138.75,-34.6001
79,149.716,-34.756
80,153.082,-27.559
81,151.344,-33.424
82,151.258,-23.8462
83,144.355,-38.1492
84,146.046,-34.2891
85,149.135,-35.1845
86,152.661,-26.1874
87,152.933,-29.6899
88,114.613,-28.7708
89,150.25,-30.9775
90,145.161,-37.8814
91,147.27,-42.8305
92,145.187,-38.3078
93,144.83,-37.778
94,142.028,-37.7415
95,151.099,-33.7062
96,142.197,-36.7132
97,147.323,-42.8858
98,115.81,-31.8423
99,152.841,-25.2829
100,152.76,-27.6172
101,151.114,-29.7774
102,146.159,-18.6497
103,146.028,-17.5245
104,152.991,-27.4842
105,115.771,-31.7418
106,150.31,-33.7171
107,121.477,-30.7454
108,153.107,-27.2435
109,151.838,-26.543
110,151.74,-32.9002
111,115.802,-31.8987
112,153.132,-26.6995
113,152.829,-31.081
114,153.277,-28.8121
115,151.506,-33.2426
116,150.922,-33.9236
117,147.143,-41.4295
118,151.159,-33.8871
119,150.16,-33.4813
120,144.566,-37.6872
121,116.005,-31.8884
122,145.043,-38.2261
123,115.9,-31.9001
124,151.121,-34.0426
125,151.562,-32.7376
126,153.003,-30.6426
127,152.949,-27.0821
128,149.587,-32.5918
129,115.723,-32.5323
130,139.491,-20.7249
131,149.159,-21.1225
132,146.399,-38.2399
133,138.543,-35.0137
134,149.84,-29.4609
135,151.216,-33.8764
136,152.896,-27.6073
137,152.975,-27.6014
138,152.701,-25.5374
139,144.925,-37.7877
140,140.783,-37.8284
141,142.16,-34.1874
142,150.889,-32.2603
143,153.095,-26.6563
144,150.127,-36.2238
145,151.769,-32.9287
146,145.002,-37.7382
147,149.784,-30.3242
148,152.96,-26.6284
149,150.601,-34.8773
150,149.098,-33.2845
151,130.987,-12.481
152,141.605,-38.3502
153,144.997,-37.8523
154,150.991,-33.8355
155,151.001,-33.8144
156,151.237,-33.9411
157,150.691,-33.7521
158,145.483,-38.0784
159,152.907,-31.4297
160,138.007,-33.1764
161,148.176,-33.1343
162,135.86,-34.7245
163,137.763,-32.4894
164,149.233,-35.3519
165,150.817,-33.609
166,115.746,-32.2863
167,150.523,-23.3618
168,144.909,-38.3553
169,147.372,-42.8662
170,151.102,-33.911
171,151.742,-32.7643
172,145.237,-37.9175
173,145.226,-37.814
174,147.069,-38.1081
175,145.693,-16.8373
176,152.99,-27.3089
177,150.568,-33.6989
178,145.4,-36.3851
179,151.059,-34.0318
180,151.17,-32.5641
181,145.059,-37.9675
182,150.839,-34.5639
183,153.411,-27.9701
184,143.559,-35.3416
185,151.956,-27.5606
186,146.725,-19.3186
187,151.496,-33.3433
188,149.07,-35.4202
189,150.927,-31.088
190,153.06,-27.4014
191,151.594,-33.0112
192,152.461,-31.9136
193,153.543,-28.2
194,138.688,-34.8343
195,151.425,-33.2803
196,152.498,-32.1719
197,150.473,-35.3572
198,151.325,-33.4875
199,144.657,-37.9059
200,153.105,-27.6384
201,146.327,-36.3534
202,142.485,-38.382
203,151.672,-32.9014
204,150.898,-34.427
205,137.536,-33.0275
206,152.034,-28.2134
207,145.929,-38.1634
208,149.087,-35.3483
209,150.888,-34.4855
210,138.509,-34.847
211,145.152,-37.9558
212,147.369,-35.1118
213,153.172,-27.4467
214,150.924,-33.691
215,145.009,-37.8109
216,148.292,-34.3109
217,153.381,-27.9771
218,151.267,-33.7677
219,115.833,-32.0358
220,151.695,-32.9613
221,145.058,-37.8313
222,151.006,-33.7299
223,153.102,-27.5033
224,144.963,-37.815
225,115.75,-32.0514
226,151.127,-33.9497
227,147.31,-42.9764
228,145.235,-37.869
229,115.822,-31.9475
230,146.537,-38.1974
231,115.934,-31.9659
232,151.296,-33.6959
233,144.319,-38.1992
234,153.023,-27.4672
235,151.209,-33.8677
236,138.603,-34.924
237,115.856,-31.9533
238,146.924,-36.0773
